"","lad2014_code","rr_80_84_m","rr_85_89_m","rr_90p_m","rr_80_84_f","rr_85_89_f","rr_90p_f"
"547","E07000052",1.09709588061835,1.06233387636114,1.01382805656363,1.04856986541197,0.907699975300801,1.22665064227833
"553","E07000053",1.06172839506173,1.17762326169406,0.757259865971705,1.18904599659285,0.719994086776554,1.11340970350404
"559","E07000061",1.17741100177884,0.958707068071366,1.29294157379264,1.33440050219711,0.938113875825942,1.14921794871795
"565","E07000062",0.93984229390681,0.904341926729986,0.993231046931408,1.47867672867673,1.34574013115264,1.17139001349528
"571","E07000063",0.724146590847938,1.12801358234295,1.13888091822095,1.0615000663106,1.2987872030891,0.942397776895594
"577","E07000064",1.27272621255058,0.931664226872184,1.1869194074818,1.24086224993666,1.10417549047029,1.30133515858342
"583","E07000065",1.11084225192346,1.23214082130561,1.00984758201091,1.22471692968314,1.17904770848986,1.02427579874914
"589","E07000066",1.16564162234043,1.17344576719577,0.794871794871795,1.10740175505532,1.14413785501708,1.2500790788891
"595","E07000067",1.11883122060113,1.27221919302072,1.20761840835676,1.11491745091016,1.21416296855821,1.05734975216853
"601","E07000068",1.51119242359019,1.24056883270788,1.04293144208038,0.846774193548387,1.13585189199842,1.29647340861775
"607","E07000069",1.16485116683687,0.83503419629749,1.24135723431498,0.969106837722748,1.01929036746569,1.59550786456945
"613","E07000070",0.915026916261453,0.867247212128806,1.35922330097087,1.00526317620335,1.34903794815005,1.19701310289767
"619","E07000071",0.977017637626937,1.0952026924399,0.939144189144189,1.07234619556795,1.19560063224447,1.01565822246522
"625","E07000072",1.35249646250253,1.18733662503631,1.1571568627451,1.26569477278697,1.05033764229211,1.19616284552236
"631","E07000073",1.01411231047083,1.51750367361051,0.754271476032273,1.04266498745755,0.960639606396064,1.14889456244228
"637","E07000074",1.22439848876516,1.21511058915639,0.984126984126984,1.50766200283885,0.988247061765441,0.893947963800905
"643","E07000075",1.26827607875995,1.54905782975958,1.39607602697731,0.8603885003885,1.04826824856352,1.56793850633779
"649","E07000076",0.982143252077832,1.1338393894143,1.25397129186603,0.934914277481631,1.07269556927091,1.27605416066955
"655","E07000077",0.961435786435786,0.957458859066738,1.10521266389511,1.20247222656861,1.02384351044145,0.826855305466238
"661","E07000078",0.903954802259887,0.981645569620253,1.12814748201439,1.03174440857231,1.01700715344461,1.47223756906077
"667","E07000079",1.15335905087707,1.01873315132471,1.01465899370091,1.07248643534341,1.21054443337259,1.14091325792301
"673","E07000080",1.15789473684211,1.03084705415592,1.29300462249615,1.28860647944157,1.14038665470267,1.07461944983965
"679","E07000081",0.999125874125874,0.800928157072735,1.01611940298507,1.02942302978306,1.10408327324863,1.16290322580645
"685","E07000082",1.14117284730558,0.89951819817728,1.03365906623236,0.970129612859407,1.00788042975186,1.04456392857562
"691","E07000083",1.40345056403451,1.25544630807789,1.25571296748629,0.944698011754408,0.893220470606508,1.27765064836003
"697","E07000084",1.41060567010309,1.25096462369522,1.09781622234827,1.29877276979803,1.09936094185152,0.955607476635514
"703","E07000085",1.01140934088484,1.17341820987654,1.13969800813879,0.890117653452164,0.932527273990689,1.30587023686921
"709","E07000086",1.07744282744283,0.805396315829703,1.03251311012505,1.19949403114871,1.20031375703942,1.08678736635726
"715","E07000087",1.00747279435804,1.19290717281335,0.908461210571185,0.897196261682243,1.09641272658132,1.08752048217621
"721","E07000088",1.12107750158065,0.982641509433962,1.23519749122676,1.20145272954262,1.69236093632016,1.15535970114067
"727","E07000089",0.746137562794224,1.12627424255331,0.659109149277689,1.34195301542777,1.24472966269841,1.11389877421906
"733","E07000090",1.16989722011451,1.19594219010561,1.07287339714647,0.98281771132835,1.26588370347477,1.00913490025676
"739","E07000091",1.00202429149798,1.09887049193398,1.02302146559444,1.25605030328787,1.29242322310973,1.1308693309757
"745","E07000092",1.00603443503294,0.906929189062865,1.08520696414159,0.918465036499262,0.907759882869693,1.20588235294118
"751","E07000093",0.648399580020999,0.950064020486556,1.02507344401175,0.711412909583641,1.02427789601703,1.12522348033373
"757","E07000094",1.17981020673322,0.960148924434639,1.35172329053265,0.743930745814307,1.237687520236,1.15226470533883
"763","E07000095",1.33099181542824,0.891566265060241,1.03710073710074,1.27681755829904,1.08896080546566,1.04786585365854
"769","E07000096",1.38747648902821,0.930486593843098,1.07867002692021,1.05237922503116,0.985178717416815,1.23329807195839
"775","E07000098",1.14076973255055,1.17799352750809,1.2953506097561,0.81555699202758,1.18443197755961,1.46360688629727
"781","E07000099",1.05810306198656,0.967124210330732,1.23821243523316,1.16221326462766,1.11172933175968,1.26741219316475
"787","E07000102",1.19937319189971,1.28317515099223,0.791678072816863,1.22309899569584,1.07872761235029,1.29616760699051
