"","lad2014_code","adjrr_80_84_m","adjrr_85_89_m","adjrr_90p_m","adjrr_80_84_f","adjrr_85_89_f","adjrr_90p_f"
"439","E07000034",1.03248317011772,1.04643838016069,1.15248387975661,1.0314079542829,1.25341080702203,1.07973055438201
"445","E07000035",1.02906831215685,0.934471596125652,0.757850368809273,1.21568623425453,1.04842245023631,1.17930024149337
"451","E07000036",0.916407218801697,1.33914644889789,1.12278829910198,1.13463007178845,1.08660491692423,1.16892012097492
"457","E07000037",1.59547673502658,1.31265372919213,1.375,1.10994353041586,1.17299651762531,1.66808823529412
"463","E07000038",0.919691834910484,1.20497369112926,1.19821766135566,1.59329889079822,1.57457887216208,1.06656840092423
"469","E07000039",1.09363173613933,1.39562832463124,1.0621766280107,1.48984468610546,1.19844722694151,1.54677145284622
"475","E07000040",1.02151147519781,1.10992780696582,1.29749204566723,1.0768745594651,0.948624314244817,1.09271721476338
"481","E07000041",0.952966427798388,1.00074206782704,1.421926910299,1.17326483317874,1.43810304704462,1.16877860551173
"487","E07000042",1.14045390590547,1.26455187439282,1.24253731343284,1.11617306119681,0.954140835015581,1.12886613326964
"493","E07000043",1.1873700639533,1.10901614439158,1.42196693751751,1.04738228998186,0.996553570470814,1.05975173574584
"499","E07000044",1.23207052471643,0.894012331117815,1.28615596015115,1.07369810895514,1.08456188585151,1.40252285451067
"505","E07000045",1.03791475236278,0.930180489311444,1.23411978221416,1.0758730985609,1.06587509706344,1.10012036327826
"511","E07000046",0.890716859349223,1.08134418316006,1.0719314355678,1.24978145732236,1.53383325181634,1.06305170239596
"517","E07000047",1.00393361467917,1.06403022853158,0.7875281260045,1.19508129238538,0.914599179553351,1.20680564644293
"523","E07000048",1.142000204552,1.39374986460892,1.09187510781439,1.33685867364615,1.02121194916823,1.23433218309144
"529","E07000049",1.06906798081469,1.08938160077911,0.962061560486757,1.24669010716476,1.31750840788741,1.28904501691387
"535","E07000050",0.943867299443587,1.13238819424773,1.29044117647059,1.77174584501575,1.05922894523569,1.29617722544914
"541","E07000051",1.43197620540526,1.72275839836368,1.07625139608082,2.82132210357269,1.5704035075275,1.04859335038363
"547","E07000052",1.12926989646465,1.06952362028862,1.01382805656363,1.0844326815242,0.936872817202146,1.22665064227833
"553","E07000053",1.10731861246197,1.26131758079878,0.757259865971705,1.25416029887085,0.803066482068806,1.11340970350404
"559","E07000061",1.19628034783954,0.961170653303535,1.29294157379264,1.35448319259392,0.959528356908574,1.14921794871795
"565","E07000062",1.04643553468923,1.09149480054583,0.993231046931408,1.64735100130507,1.34803407411687,1.17139001349528
"571","E07000063",0.800034972270103,1.17299280391088,1.13888091822095,1.07121572461672,1.30053804470276,0.942397776895594
"577","E07000064",1.43240960953136,0.963202252417111,1.1869194074818,1.28783546972648,1.1241800433002,1.30133515858342
"583","E07000065",1.16467445758361,1.23539490420708,1.00984758201091,1.25560844477436,1.21186827313854,1.02427579874914
"589","E07000066",1.33615564343592,1.20658160714943,0.794871794871795,1.12541271268128,1.15169113341438,1.2500790788891
"595","E07000067",1.23951947589029,1.29224070445526,1.20761840835676,1.24962349089799,1.21834451054604,1.05734975216853
"601","E07000068",1.87202332851246,1.30114314733707,1.04293144208038,0.891623117330282,1.18241792921192,1.29647340861775
"607","E07000069",1.20878222706233,0.93063564742264,1.24135723431498,1.12432165871619,1.03825759953357,1.59550786456945
"613","E07000070",1.01841421313655,0.923459997762308,1.35922330097087,1.03332116167895,1.38509262545642,1.19701310289767
"619","E07000071",1.01955787279102,1.10804879948831,0.939144189144189,1.06068143489635,1.2008667080994,1.01565822246522
"625","E07000072",1.42953416525849,1.25472549558753,1.1571568627451,1.25315189874283,1.12388927976488,1.19616284552236
"631","E07000073",1.06092609786441,1.5179189769838,0.754271476032273,1.10908731951864,0.982502142462098,1.14889456244228
"637","E07000074",1.40625402498067,1.28563531195821,0.984126984126984,1.66018710247464,1.23219083315321,0.893947963800905
"643","E07000075",1.33337198072313,1.55598408185594,1.39607602697731,0.836241168048637,1.1580265537797,1.56793850633779
"649","E07000076",1.02911876245836,1.18385876393799,1.25397129186603,0.967820839997254,1.10366217893608,1.27605416066955
"655","E07000077",1.28949432554883,0.994579842954508,1.10521266389511,2.387403670277,1.07604018863526,0.826855305466238
"661","E07000078",0.922226309006875,1.01405327937439,1.12814748201439,1.05544370825751,1.07065036646016,1.47223756906077
"667","E07000079",1.34157907766437,1.02228075503487,1.01465899370091,1.38662996428358,1.26364279716712,1.14091325792301
"673","E07000080",1.35258981924252,1.30449658291454,1.29300462249615,1.33952956033127,1.19750659063309,1.07461944983965
"679","E07000081",1.07604129595101,1.03441615699073,1.01611940298507,1.02723017857858,1.11105339738075,1.16290322580645
"685","E07000082",1.22405130548982,0.951071344383487,1.03365906623236,1.01897102429038,1.09819836205821,1.04456392857562
"691","E07000083",1.59300425475113,1.34262835311522,1.25571296748629,1.14813507309982,0.978401988313345,1.27765064836003
"697","E07000084",1.59349615696281,1.31235185781229,1.09781622234827,1.62021267985842,1.11210480470091,0.955607476635514
"703","E07000085",1.18073862320577,1.25607895126985,1.13969800813879,0.935625076589656,0.937564573076605,1.30587023686921
"709","E07000086",1.45397147729641,0.809334498072484,1.03251311012505,1.29706637908899,1.2521183496171,1.08678736635726
"715","E07000087",0.994259029131159,1.23845864608503,0.908461210571185,0.904648617210756,1.14020526877572,1.08752048217621
"721","E07000088",1.12950535791761,1.10275402298851,1.23519749122676,1.90451560588448,1.72517326540043,1.15535970114067
"727","E07000089",0.777827516896198,1.20998702041856,0.659109149277689,1.42159110446374,1.26125775508863,1.11389877421906
"733","E07000090",1.17671654864724,1.30092527027421,1.07287339714647,0.987714636689614,1.41102840962745,1.00913490025676
"739","E07000091",1.00184818513035,1.1412956530465,1.02302146559444,1.31379681180451,1.30816832578445,1.1308693309757
"745","E07000092",1.09309893854778,0.965009019773139,1.08520696414159,1.07919799854824,0.955157052705569,1.20588235294118
"751","E07000093",0.66219173240169,1.01014448899897,1.02507344401175,0.855250660196636,1.04233725939133,1.12522348033373
"757","E07000094",1.27114258369474,1.14420273627215,1.35172329053265,0.779767097806742,1.35071950718391,1.15226470533883
"763","E07000095",1.36582850761058,0.953287300284906,1.03710073710074,1.65702342122413,1.07800117822102,1.04786585365854
"769","E07000096",1.52394956459761,0.984260788461067,1.07867002692021,1.04458326660322,1.00346742980291,1.23329807195839
"775","E07000098",1.22229702928503,1.34088513295167,1.2953506097561,0.846721087906557,1.23224130909878,1.46360688629727
"781","E07000099",1.121203227797,1.0016792621421,1.23821243523316,1.20666304105645,1.1578441568629,1.26741219316475
"787","E07000102",1.40659367687239,1.50382873836605,0.791678072816863,1.47134624927661,1.11122015172101,1.29616760699051
